Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
134,2498,10G,21.9,47.9,465,2020-03-06,2020-03-31,,
135,2498,12H,17.3,20,400,2020-02-26,2020-03-25,,
136,2498,51A,45.4,18.3,337,2020-03-13,2020-04-21,,
137,2498,63A,55.5,15.1,429,2020-02-14,2020-03-11,,
138,2498,10C,21.9,45.7,556,2020-02-18,2020-03-17,,
139,2498,80A,41.1,27.5,665,2020-03-13,2020-04-17,,
140,2498,21D,20.3,47.4,657,2020-02-12,2020-03-04,,
141,2498,11A,49.3,45,1489,2020-01-10,2020-03-05,2,
142,2498,80E,12.8,41,261,2020-03-20,2020-04-21,,
143,2499,80B,25.7,30.3,636,2020-04-01,2020-05-04,,
144,2499,13B,22.1,11.7,207,2020-03-09,2020-04-09,,
145,2499,12B,22.1,35,492,2020-03-05,2020-04-08,,
146,2499,10G,21.9,46.4,459,2020-03-30,2020-04-28,,
147,2500,63A,55,16.5,489,2020-06-18,2020-07-14,,
148,2500,80E,12.8,39.3,389,2020-07-21,2020-09-02,,
149,2500,62A,55,16.5,488,2020-06-18,2020-07-14,,
150,2500,10C,21.9,44.4,579,2020-06-23,2020-07-21,,
151,2500,80A,37.9,27.5,744,2020-07-09,2020-08-28,,
152,2500,12B,22.1,35,492,2020-06-10,2020-07-10,,
153,2500,10J,16.5,42.4,354,2020-06-30,2020-07-24,,
154,2500,51A,45.4,19.2,445,2020-07-15,2020-09-02,,
155,2500,10F,21.4,46.4,554,2020-06-30,2020-07-24,,
156,2500,11A,48.5,44.2,1909,2020-06-01,2020-07-07,2,
157,2500,10G,21.9,46.4,459,2020-06-29,2020-07-24,,
158,2500,21D,20.5,45.8,620,2020-06-15,2020-07-13,,
159,2500,80B,25.7,30.3,636,2020-07-22,2020-09-04,,
160,2500,22D,19.2,41,455,2020-06-16,2020-07-13,,
161,2500,10E,21.9,46.4,389,2020-06-29,2020-07-24,,
162,2500,10D,21.4,46.4,588,2020-06-24,2020-07-23,,
163,2500,10H,16.5,38.2,730,2020-06-19,2020-07-24,,
164,2500,13B,22.1,11.7,207,2020-06-15,2020-07-10,,
165,2501,62A,55,16.5,488,2020-06-17,2020-07-13,,
166,2501,10F,21.4,46.4,554,2020-06-29,2020-07-24,,
167,2501,10C,21.9,44.4,579,2020-06-22,2020-07-20,,
168,2501,21D,20.5,45.8,620,2020-06-10,2020-07-07,,
169,2501,12B,22.1,35,492,2020-06-08,2020-07-09,,
170,2501,10G,21.9,46.4,459,2020-06-29,2020-07-24,,
171,2501,13B,22.1,11.7,207,2020-06-12,2020-07-10,,
172,2501,51A,45.4,19.2,445,2020-07-14,2020-09-02,,
173,2501,63A,55,16.5,489,2020-06-17,2020-07-13,,
174,2501,11A,52.2,43.4,1429,2020-05-29,2020-07-06,2,
175,2501,80B,25.7,30.3,636,2020-07-20,2020-09-02,,
176,2501,22D,19.2,41,455,2020-06-10,2020-07-07,,
177,2501,10E,21.9,46.4,389,2020-06-29,2020-07-24,,
178,2501,80A,37.9,27.5,744,2020-07-07,2020-08-27,,
179,2501,80E,12.8,39.3,389,2020-07-16,2020-09-01,,
180,2501,10D,21.4,46.4,588,2020-06-23,2020-07-22,,
181,2501,10J,16.5,42.4,354,2020-07-01,2020-07-24,,
182,2501,10H,19.7,36.5,639,2020-06-24,2020-07-24,,
183,2504,10F,21.4,46.4,554,2020-10-06,2020-11-03,,
184,2504,10C,21.9,44.4,579,2020-09-23,2020-10-26,,
185,2504,21D,20.5,45.8,620,2020-09-16,2020-10-16,,
186,2504,12B,22.1,35,492,2020-09-09,2020-10-14,,
187,2504,10G,21.9,46.4,459,2020-10-08,2020-11-06,,
188,2504,13B,22.1,11.7,207,2020-09-15,2020-10-15,,
189,2504,51A,45.4,19.2,445,2020-10-27,2020-12-01,,
190,2504,80B,25.7,30.3,636,2020-11-02,2020-12-01,,
191,2504,22D,19.2,41,455,2020-09-16,2020-10-16,,
192,2504,10E,21.9,46.4,389,2020-10-05,2020-10-30,,
193,2504,11A,52.2,43.4,1429,2020-08-28,2020-10-12,2,
194,2504,10H,19.7,36.5,639,2020-09-28,2020-11-02,,
195,2504,10D,21.4,46.4,588,2020-09-24,2020-10-28,,
196,2504,80A,37.9,27.5,744,2020-10-26,2020-11-25,,
